ngram_ids,count,smoothed_count
"(34, 552)",15,15.01
"(72, 127)",15,15.01
"(88, 2567)",15,15.01
"(147, 109)",14,14.01
"(1403, 101)",14,14.01
"(134, 160)",14,14.01
"(132, 135)",14,14.01
"(552, 114)",14,14.01
"(237, 135)",14,14.01
"(161, 88)",14,14.01
"(93, 272)",14,14.01
"(2337, 101)",14,14.01
"(93, 59)",14,14.01
"(9, 132)",14,14.01
"(102, 949)",14,14.01
"(89, 1068)",14,14.01
"(93, 155)",14,14.01
"(388, 88)",14,14.01
"(88, 406)",14,14.01
"(376, 1403)",14,14.01
"(293, 315)",14,14.01
"(153, 181)",14,14.01
"(9, 870)",14,14.01
"(244, 223)",14,14.01
"(97, 457)",14,14.01
"(142, 132)",14,14.01
"(492, 101)",14,14.01
"(85, 1485)",14,14.01
"(93, 144)",14,14.01
"(1008, 9)",14,14.01
"(101, 127)",14,14.01
"(254, 267)",14,14.01
"(101, 241)",14,14.01
"(296, 203)",14,14.01
"(88, 1928)",14,14.01
"(288, 153)",14,14.01
"(656, 11)",14,14.01
"(1730, 2073)",14,14.01
"(85, 1517)",14,14.01
"(142, 352)",14,14.01
"(117, 748)",14,14.01
"(241, 106)",14,14.01
"(88, 823)",14,14.01
"(10, 371)",14,14.01
"(88, 1354)",14,14.01
"(93, 161)",14,14.01
"(329, 141)",14,14.01
"(85, 686)",14,14.01
"(538, 88)",14,14.01
"(163, 96)",14,14.01
"(213, 9)",14,14.01
"(93, 55)",14,14.01
"(516, 84)",14,14.01
"(11, 792)",14,14.01
"(54, 1586)",14,14.01
"(54, 1006)",14,14.01
"(93, 227)",14,14.01
"(190, 132)",14,14.01
"(109, 329)",14,14.01
"(528, 88)",14,14.01
"(88, 1258)",14,14.01
"(213, 11)",14,14.01
"(88, 1230)",14,14.01
"(88, 353)",14,14.01
"(3, 232)",14,14.01
"(193, 163)",14,14.01
"(288, 136)",14,14.01
"(93, 701)",14,14.01
"(82, 88)",14,14.01
"(590, 93)",14,14.01
"(577, 11)",14,14.01
"(117, 240)",14,14.01
"(85, 1411)",14,14.01
"(11, 803)",14,14.01
"(397, 203)",14,14.01
"(521, 109)",14,14.01
"(11, 41)",14,14.01
"(9, 404)",14,14.01
"(88, 1547)",14,14.01
"(761, 9)",14,14.01
"(225, 161)",14,14.01
"(230, 9)",14,14.01
"(230, 11)",14,14.01
"(88, 2143)",14,14.01
"(9, 218)",14,14.01
"(78, 11)",14,14.01
"(93, 380)",14,14.01
"(163, 9)",13,13.01
"(88, 1057)",13,13.01
"(96, 302)",13,13.01
"(9, 608)",13,13.01
"(1006, 101)",13,13.01
"(286, 93)",13,13.01
"(88, 432)",13,13.01
"(524, 9)",13,13.01
"(88, 1329)",13,13.01
"(296, 254)",13,13.01
"(88, 1081)",13,13.01
"(134, 183)",13,13.01
"(88, 1507)",13,13.01
"(25, 34)",13,13.01
"(88, 1149)",13,13.01
"(93, 332)",13,13.01
"(97, 911)",13,13.01
"(11, 1165)",13,13.01
"(11, 38)",13,13.01
"(372, 181)",13,13.01
"(101, 725)",13,13.01
"(422, 88)",13,13.01
"(9, 433)",13,13.01
"(134, 1036)",13,13.01
"(89, 725)",13,13.01
"(630, 97)",13,13.01
"(396, 214)",13,13.01
"(179, 93)",13,13.01
"(88, 1142)",13,13.01
"(132, 89)",13,13.01
"(88, 2931)",13,13.01
"(88, 2238)",13,13.01
"(88, 775)",13,13.01
"(88, 1736)",13,13.01
"(815, 9)",13,13.01
"(348, 352)",13,13.01
"(1045, 9)",13,13.01
"(509, 9)",13,13.01
"(153, 422)",13,13.01
"(2220, 93)",13,13.01
"(106, 102)",13,13.01
"(93, 497)",13,13.01
"(97, 468)",13,13.01
"(85, 28)",13,13.01
"(244, 656)",13,13.01
"(136, 851)",13,13.01
"(232, 84)",13,13.01
"(142, 488)",13,13.01
"(11, 29)",13,13.01
"(102, 386)",13,13.01
"(171, 11)",13,13.01
"(89, 191)",13,13.01
"(9, 390)",13,13.01
"(82, 109)",13,13.01
